datenquelle|standdatum|offertnummerintern|erstellerlogin|erstellungsdatum|processconfiguration|produktid|uebersteuerungsid|fehlertext
6050|20170128|00105149641|LEGG|20170113|10|SLPDV1|101238| 
6050|20170128|00105139633|ESFM|20170113|3|SLPDV3|101121|Der Versicherungsbeginn darf nicht in der Vergangenheit liegen.
6050|20170128|00105143038|DEBA|20170116|3|SLPDV1|101121|Der Versicherungsbeginn darf nicht in der Vergangenheit liegen.
6050|20170128|00105107845|EAMI|20170116|2|SLPDV3|101121|L'inizio dell'assicurazione non deve situarsi nel passato.
6050|20170128|00105095867|MROO|20170116|3|SLPDV6|101238|Der Versicherungsbeginn liegt mehr als einen Monat in der Vergangenheit.
6050|20170128|00105132076|EAMI|20170116|2|SLPDP|101238|L'inizio dell'assicurazione si situa più di un mese nel passato.
6050|20170128|00105130611|MROO|20170116|3|SLPDV3|101121|Der Versicherungsbeginn darf nicht in der Vergangenheit liegen.
6050|20170128|00105128117|EAMI|20170116|2|SLPDV3|101121|L'inizio dell'assicurazione non deve situarsi nel passato.
6050|20170128|00105154173|JABO|20170116|3|SLFIE|101121| 
6050|20170128|00105154723|JABO|20170117|3|SLR40|101121| 
6050|20170128|00105154556|TSES|20170117|2|SLPDV3|101121| 
6050|20170128|00105130161|ESFM|20170117|3|SLR40|101238|Der Versicherungsbeginn liegt mehr als einen Monat in der Vergangenheit.
6050|20170128|00105154866|ALEC|20170117|3|SLPDV3|101238| 
6050|20170128|00105149090|ZIFI|20170117|2|SLPUP|101238| 
6050|20170128|00105146529|DEBA|20170117|3|SLPDV3|101121|Der Versicherungsbeginn darf nicht in der Vergangenheit liegen.
6050|20170128|00105149607|ZIFI|20170117|2|SLPDV3|101238| 
6050|20170128|00105155108|JABO|20170117|3|SLCAXC|101121| 
6050|20170128|00105150998|CMIR|20170118|2|SLPDV3|101121| 
6050|20170128|00105127405|DEBA|20170118|2|SLPDV3|101238|Der Versicherungsbeginn liegt mehr als einen Monat in der Vergangenheit.
6050|20170128|00105133299|DEBA|20170118|2|SLPDV3|101121|Der Versicherungsbeginn darf nicht in der Vergangenheit liegen.
6050|20170128|00105129940|DEBA|20170118|2|SLPDV3|101238|Der Versicherungsbeginn liegt mehr als einen Monat in der Vergangenheit.
6050|20170128|00105134328|ESFM|20170118|3|SLPDP|101238|Der Versicherungsbeginn liegt mehr als einen Monat in der Vergangenheit.
6050|20170128|00105141855|ESPO|20170118|1|SLPDV3|101121|Der Versicherungsbeginn darf nicht in der Vergangenheit liegen.
6050|20170128|00105131961|ESFM|20170118|2|SLPDV3|101238|Der Versicherungsbeginn liegt mehr als einen Monat in der Vergangenheit.
6050|20170128|00105155730|ALEC|20170119|3|SLPDV3|101121| 
6050|20170128|00105149425|UBEN|20170119|1|SLFNE|101121|Der Versicherungsbeginn darf nicht in der Vergangenheit liegen.
6050|20170128|00105106062|ESFM|20170119|1|SLPDV3|101121|Der Versicherungsbeginn darf nicht in der Vergangenheit liegen.
6050|20170128|00105145736|ESFM|20170119|1|SLPDV1|101121|Der Versicherungsbeginn darf nicht in der Vergangenheit liegen.
6050|20170128|00105150556|ZIFI|20170119|2|SLPDV3|101121| 
6050|20170128|00105132540|FUAR|20170119|2|SLPDV3|101121|Der Versicherungsbeginn darf nicht in der Vergangenheit liegen.
6050|20170128|00105157095|JABO|20170120|3|SLR40|101121| 
6050|20170128|00105148750|UBEN|20170123|1|SLPDV1|101121|Der Versicherungsbeginn darf nicht in der Vergangenheit liegen.
6050|20170128|00105121196|FUAR|20170123|3|SLPDV3|101238|Der Versicherungsbeginn liegt mehr als einen Monat in der Vergangenheit.
6050|20170128|00105132627|FUAR|20170123|2|SLPDV3|101121|Der Versicherungsbeginn darf nicht in der Vergangenheit liegen.
6050|20170128|00105130248|FUAR|20170123|2|SLPDV3|101238|Der Versicherungsbeginn liegt mehr als einen Monat in der Vergangenheit.
6050|20170128|00105153073|CMIR|20170124|2|SLPDV3|101121| 
6050|20170128|00105159164|JABO|20170124|3|SLPDV3|101238| 
6050|20170128|00105156031|ROM5|20170125|2|SLPDV3|101238| 
6050|20170128|00105158622|ZIFI|20170125|2|SLPDV3|101238| 
6050|20170128|00105144755|EAMI|20170125|10|SLPDV3|101121|L'inizio dell'assicurazione non deve situarsi nel passato.
6050|20170128|00105143792|FUAR|20170125|1|SLPDV1|101121|Der Versicherungsbeginn darf nicht in der Vergangenheit liegen.
6050|20170128|00105086771|ESFM|20170126|2|SLPDV3|101121|Der Versicherungsbeginn darf nicht in der Vergangenheit liegen.
6050|20170128|00105126048|SVAN|20170126|2|SLR40|101238| 
6050|20170128|00105157441|ROM5|20170126|2|SLPDV6|101121| 
6050|20170128|00105159369|ZIFI|20170126|2|SLPDV3|101238| 
6050|20170128|00105154491|SASP|20170126|2|SLPDV3|101238| 
6050|20170128|00105152276|MST2|20170127|2|SLPDV3|101121| 
6050|20170128|00105161126|JABO|20170127|3|SLR40|101121| 
6050|20170128|00105143516|MROO|20170127|2|SLPDV3|101121|Der Versicherungsbeginn darf nicht in der Vergangenheit liegen.
6050|20170128|00105086636|ESFM|20161124|2|SLPDV6|101121|Der Versicherungsbeginn darf nicht in der Vergangenheit liegen.
6050|20170128|00105084569|FUAR|20161130|1|SLPDV6|101121|Der Versicherungsbeginn darf nicht in der Vergangenheit liegen.
6050|20170128|00105143401|MST2|20161220|2|SLPDV3|101121| 
6050|20170128|00105110356|MROO|20161221|3|SLPDV3|101121|Der Versicherungsbeginn darf nicht in der Vergangenheit liegen.
6050|20170128|00105067300|DEBA|20161221|1|SLPUP|101076|Die Prämienbefreiung bei Erwerbsunfähigkeit ist für den Tarif  obligatorisch.
6050|20170128|00105146169|ZIFI|20161223|2|SLPDV3|101238| 
6050|20170128|00105110067|DEBA|20161227|2|SLPDV3|101238|Der Versicherungsbeginn liegt mehr als einen Monat in der Vergangenheit.
6050|20170128|00105115712|DEBA|20161227|1|SLFUP|101121|Der Versicherungsbeginn darf nicht in der Vergangenheit liegen.
6050|20170128|00105135652|ZIFI|20161228|2|SLPDV3|101121| 
6050|20170128|00105148566|TSES|20161229|2|SLPDV3|101238| 
6050|20170128|00105118802|DEBA|20161230|1|SLR40|101238|Der Versicherungsbeginn liegt mehr als einen Monat in der Vergangenheit.
6050|20170128|00105144177|NAGI|20161230|2|SLPDV3|101238| 
6050|20170128|00105142362|FUAR|20170103|2|SLPUP|101121|Der Versicherungsbeginn darf nicht in der Vergangenheit liegen.
6050|20170128|00105148418|NAGI|20170105|2|SLPDV3|101121| 
6050|20170128|00105141611|DEBA|20170109|2|SLPDV3|101121|Der Versicherungsbeginn darf nicht in der Vergangenheit liegen.
6050|20170128|00105124474|DEBA|20170111|3|SLPDV3|101121|Der Versicherungsbeginn darf nicht in der Vergangenheit liegen.
6050|20170128|00105153212|JABO|20170113|3|SLPUP|101121| 
6050|20170128|00105149637|LEGG|20170113|10|SLPDV1|101121| 
6050|20170128|00105149715|LEGG|20170113|10|SLPUP|101121| 
6050|20170128|00105107845|EAMI|20170116|2|SLPDV3|101238|L'inizio dell'assicurazione si situa più di un mese nel passato.
6050|20170128|00105095867|MROO|20170116|3|SLPDV6|101121|Der Versicherungsbeginn darf nicht in der Vergangenheit liegen.
6050|20170128|00105130611|MROO|20170116|3|SLPDV3|101238|Der Versicherungsbeginn liegt mehr als einen Monat in der Vergangenheit.
6050|20170128|00105153886|JABO|20170116|3|SLPDV3|101238| 
6050|20170128|00105079959|ESPO|20170117|3|SLPDV1|101121|Der Versicherungsbeginn darf nicht in der Vergangenheit liegen.
6050|20170128|00105154866|ALEC|20170117|3|SLPDV3|101121| 
6050|20170128|00105145393|DEBA|20170117|1|SLPDV3|101121|Der Versicherungsbeginn darf nicht in der Vergangenheit liegen.
6050|20170128|00105155108|JABO|20170117|3|SLCAXC|101238| 
6050|20170128|00105148588|NAGI|20170118|2|SLPKP|101121| 
6050|20170128|00105150998|CMIR|20170118|2|SLPDV3|101238| 
6050|20170128|00105132044|DEBA|20170118|2|SLPDV6|101121|Der Versicherungsbeginn darf nicht in der Vergangenheit liegen.
6050|20170128|00105151006|CMIR|20170118|2|SLPDV3|101238| 
6050|20170128|00105133299|DEBA|20170118|2|SLPDV3|101238|Der Versicherungsbeginn liegt mehr als einen Monat in der Vergangenheit.
6050|20170128|00105153266|ROM5|20170118|2|SLPDV3|101238| 
6050|20170128|00105129940|DEBA|20170118|2|SLPDV3|101121|Der Versicherungsbeginn darf nicht in der Vergangenheit liegen.
6050|20170128|00105134328|ESFM|20170118|3|SLPDP|101121|Der Versicherungsbeginn darf nicht in der Vergangenheit liegen.
6050|20170128|00105143815|DEBA|20170118|3|SLPDV3|101121|Der Versicherungsbeginn darf nicht in der Vergangenheit liegen.
6050|20170128|00105141866|DEBA|20170118|3|SLPDV3|101121|Der Versicherungsbeginn darf nicht in der Vergangenheit liegen.
6050|20170128|00105126056|ESFM|20170118|1|SLPDP|101238|Der Versicherungsbeginn liegt mehr als einen Monat in der Vergangenheit.
6050|20170128|00105155948|SASP|20170118|2|SLPDP|101238| 
6050|20170128|00105131961|ESFM|20170118|2|SLPDV3|101121|Der Versicherungsbeginn darf nicht in der Vergangenheit liegen.
6050|20170128|00105155722|ALEC|20170119|3|SLPDV3|101121| 
6050|20170128|00105155730|ALEC|20170119|3|SLPDV3|101238| 
6050|20170128|00105139557|UBEN|20170119|1|SLPDV3|101121|Der Versicherungsbeginn darf nicht in der Vergangenheit liegen.
6050|20170128|00105151849|ZIFI|20170119|2|SLPDV3|101121| 
6050|20170128|00105132540|FUAR|20170119|2|SLPDV3|101076|Die Prämienbefreiung bei Erwerbsunfähigkeit ist für den Tarif  obligatorisch.
6050|20170128|00105154832|ROM5|20170120|2|SLPUP|101238| 
6050|20170128|00105113887|FUAR|20170123|3|SLPDV3|101121|Der Versicherungsbeginn darf nicht in der Vergangenheit liegen.
6050|20170128|00105140455|UBEN|20170123|2|SLPDV3|101121|Der Versicherungsbeginn darf nicht in der Vergangenheit liegen.
6050|20170128|00105124215|FUAR|20170123|2|SLPDV3|101238|Der Versicherungsbeginn liegt mehr als einen Monat in der Vergangenheit.
6050|20170128|00105133646|FUAR|20170123|2|SLPDV3|101238|Der Versicherungsbeginn liegt mehr als einen Monat in der Vergangenheit.
6050|20170128|00105141801|FUAR|20170123|1|SLPKP|101121|Der Versicherungsbeginn darf nicht in der Vergangenheit liegen.
6050|20170128|00105128382|FUAR|20170123|3|SLPDV6|101121|Der Versicherungsbeginn darf nicht in der Vergangenheit liegen.
6050|20170128|00105158959|JABO|20170124|3|SLCAXC|101238| 
6050|20170128|00105138990|ROM5|20170124|2|SLPDP|101121| 
6050|20170128|00105159335|JABO|20170124|3|SLPDV3|101238| 
6050|20170128|00105148059|SVAN|20170125|2|SLPDV3|101238| 
6050|20170128|00105130325|FUAR|20170125|2|SLPDV3|101121|Der Versicherungsbeginn darf nicht in der Vergangenheit liegen.
6050|20170128|00105160319|JABO|20170126|3|SLPDV3|101121| 
6050|20170128|00105157441|ROM5|20170126|2|SLPDV6|101238| 
6050|20170128|00105159369|ZIFI|20170126|2|SLPDV3|101121| 
6050|20170128|00105158189|ZIFI|20170126|2|SLPDV3|101238| 
6050|20170128|00105158891|ZIFI|20170126|2|SLPDV3|101121| 
6050|20170128|00105150318|ZIFI|20170126|2|SLPDV3|101238| 
6050|20170128|00105159017|SASP|20170126|2|SLPDP|101121| 
6050|20170128|00105146720|UBEN|20170127|2|SLPDV3|101238|Der Versicherungsbeginn liegt mehr als einen Monat in der Vergangenheit.
6050|20170128|00105154876|ROM5|20170127|2|SLPDV3|101238| 
6050|20170128|00105157818|ROM5|20170127|2|SLPDV3|101121| 
6050|20170128|00105153647|ROM5|20170127|2|SLPDP|101121| 
6050|20170128|00105161120|JABO|20170127|3|SLR40|101121| 
6050|20170128|00105153647|ROM5|20170127|2|SLPDP|101238| 
6050|20170128|00105158390|ROM5|20170127|2|SLPDV3|101121| 
6050|20170128|00105161037|ROM5|20170127|2|SLPKP|101238| 
6050|20170128|00105156871|MST2|20170127|2|SLPDV3|101238| 
6050|20170128|00105152462|CMIR|20170125|2|SLPDV3|101121| 
6050|20170128|00105159122|ALEC|20170124|3|SLPDV3|101121| 
6050|20170128|00105105168|FUAR|20170124|3|SLPDV3|101121|Der Versicherungsbeginn darf nicht in der Vergangenheit liegen.
6050|20170128|00105155918|CMIR|20170118|2|SLCAXC|101121| 
6050|20170128|00105135937|DEBA|20170118|3|SLPDV3|101121|Der Versicherungsbeginn darf nicht in der Vergangenheit liegen.
6050|20170128|00105142026|ESFM|20170112|3|SLPDV3|101121|Der Versicherungsbeginn darf nicht in der Vergangenheit liegen.
6050|20170128|00105146464|ESPO|20170116|2|SLPUP|101121|Der Versicherungsbeginn darf nicht in der Vergangenheit liegen.
6050|20170128|00105069681|SVAN|20161121|12|SLATFP|101238| 
6050|20170128|00105101743|ESFM|20161213|2|SLPDV3|101121|Der Versicherungsbeginn darf nicht in der Vergangenheit liegen.
6050|20170128|00105067300|DEBA|20161221|1|SLPUP|101121|Der Versicherungsbeginn darf nicht in der Vergangenheit liegen.
6050|20170128|00105146587|SVAN|20161227|12|SLATPP|101238| 
6050|20170128|00105148177|TSES|20161229|2|SLPDV3|101121| 
6050|20170128|00105138558|MST2|20161230|2|SLPDP|101238| 
6050|20170128|00105083460|DEBA|20170111|2|SLPDV3|101121|Der Versicherungsbeginn darf nicht in der Vergangenheit liegen.
6050|20170128|00105126371|DEBA|20170111|2|SLPDV3|101121|Der Versicherungsbeginn darf nicht in der Vergangenheit liegen.
6050|20170128|00105152286|JABO|20170111|3|SLPDV3|101121| 
6050|20170128|00105141073|ESFM|20170112|3|SLPDV3|101238|Der Versicherungsbeginn liegt mehr als einen Monat in der Vergangenheit.
6050|20170128|00105149641|LEGG|20170113|10|SLPDV1|101121| 
6050|20170128|00105107845|EAMI|20170116|2|SLPDV3|101076|L'esonero dal pagamento dei premi in caso d'incapacità di guadagno è obbligatorio per la tariffa .
6050|20170128|00105118312|EAMI|20170116|1|SLPDV1|101121|L'inizio dell'assicurazione non deve situarsi nel passato.
6050|20170128|00105127319|EAMI|20170116|2|SLPDV3|101238|L'inizio dell'assicurazione si situa più di un mese nel passato.
6050|20170128|00105141757|EAMI|20170116|10|SLPDV3|101121|L'inizio dell'assicurazione non deve situarsi nel passato.
6050|20170128|00105153886|JABO|20170116|3|SLPDV3|101121| 
6050|20170128|00105151792|CMIR|20170116|2|SLPUP|101121| 
6050|20170128|00105098719|FUAR|20170116|3|SLPDV3|101121|Der Versicherungsbeginn darf nicht in der Vergangenheit liegen.
6050|20170128|00105137349|FUAR|20170116|1|SLPDV1|101238|Der Versicherungsbeginn liegt mehr als einen Monat in der Vergangenheit.
6050|20170128|00105149090|ZIFI|20170117|2|SLPUP|101121| 
6050|20170128|00105127192|FLUN|20170117|1|SLFVD3|101121|Der Versicherungsbeginn darf nicht in der Vergangenheit liegen.
6050|20170128|00105137115|ESFM|20170117|1|SLPDV3|101121|Der Versicherungsbeginn darf nicht in der Vergangenheit liegen.
6050|20170128|00105147591|NAGI|20170118|2|SLPDV3|101121| 
6050|20170128|00105148588|NAGI|20170118|2|SLPKP|101238| 
6050|20170128|00105145283|MROO|20170118|1|SLPDV3|101238|Der Versicherungsbeginn liegt mehr als einen Monat in der Vergangenheit.
6050|20170128|00105128034|DEBA|20170118|2|SLPDV3|101121|Der Versicherungsbeginn darf nicht in der Vergangenheit liegen.
6050|20170128|00105151006|CMIR|20170118|2|SLPDV3|101121| 
6050|20170128|00105126126|DEBA|20170118|3|SLPDV3|101121|Der Versicherungsbeginn darf nicht in der Vergangenheit liegen.
6050|20170128|00105134308|ESFM|20170118|3|SLPDP|101121|Der Versicherungsbeginn darf nicht in der Vergangenheit liegen.
6050|20170128|00105128988|DEBA|20170118|3|SLPDV3|101121|Der Versicherungsbeginn darf nicht in der Vergangenheit liegen.
6050|20170128|00105133688|DEBA|20170118|1|SLPDV3|101121|Der Versicherungsbeginn darf nicht in der Vergangenheit liegen.
6050|20170128|00105114697|ESFM|20170118|3|SLPDV1|101238|Der Versicherungsbeginn liegt mehr als einen Monat in der Vergangenheit.
6050|20170128|00105136597|DEBA|20170118|2|SLPDV3|101121|Der Versicherungsbeginn darf nicht in der Vergangenheit liegen.
6050|20170128|00105155948|SASP|20170118|2|SLPDP|101121| 
6050|20170128|00105155722|ALEC|20170119|3|SLPDV3|101238| 
6050|20170128|00105141101|FUAR|20170119|3|SLPDV3|101121|Der Versicherungsbeginn darf nicht in der Vergangenheit liegen.
6050|20170128|00105144985|TSES|20161228|2|SLFIE|101238| 
6050|20170128|00105128044|ZIFI|20161213|2|SLPDV3|101238| 
6050|20170128|00105154832|ROM5|20170120|2|SLPUP|101121| 
6050|20170128|00105128382|FUAR|20170123|3|SLPDV6|101238|Der Versicherungsbeginn liegt mehr als einen Monat in der Vergangenheit.
6050|20170128|00105130248|FUAR|20170123|2|SLPDV3|101121|Der Versicherungsbeginn darf nicht in der Vergangenheit liegen.
6050|20170128|00105105168|FUAR|20170124|3|SLPDV3|101238|Der Versicherungsbeginn liegt mehr als einen Monat in der Vergangenheit.
6050|20170128|00105134187|FUAR|20170124|1|SLPDV3|101238|Der Versicherungsbeginn liegt mehr als einen Monat in der Vergangenheit.
6050|20170128|00105144001|CMIR|20170124|2|SLPDV3|101121| 
6050|20170128|00105153073|CMIR|20170124|2|SLPDV3|101238| 
6050|20170128|00105159122|ALEC|20170124|3|SLPDV3|101238| 
6050|20170128|00105159164|JABO|20170124|3|SLPDV3|101121| 
6050|20170128|00105159117|CMIR|20170124|2|SLPDV3|101238| 
6050|20170128|00105138276|SVAN|20170124|12|SLATFP|101121| 
6050|20170128|00105156031|ROM5|20170125|2|SLPDV3|101121| 
6050|20170128|00105158622|ZIFI|20170125|2|SLPDV3|101121| 
6050|20170128|00105128655|FUAR|20170125|2|SLPDV3|101121|Der Versicherungsbeginn darf nicht in der Vergangenheit liegen.
6050|20170128|00105151813|FUAR|20170125|2|SLPDV3|101076|Die Prämienbefreiung bei Erwerbsunfähigkeit ist für den Tarif  obligatorisch.
6050|20170128|00105119334|FUAR|20170125|3|SLPDV3|101121|Der Versicherungsbeginn darf nicht in der Vergangenheit liegen.
6050|20170128|00105160267|JABO|20170126|3|SLR40V|101121| 
6050|20170128|00105160318|JABO|20170126|3|SLPDV3|101121| 
6050|20170128|00105160319|JABO|20170126|3|SLPDV3|101238| 
6050|20170128|00105126048|SVAN|20170126|2|SLR40|101121| 
6050|20170128|00105150318|ZIFI|20170126|2|SLPDV3|101121| 
6050|20170128|00105153476|SASP|20170126|2|SLPDV3|101238| 
6050|20170128|00105138964|DEBA|20170127|2|SLPDV1|101121|Der Versicherungsbeginn darf nicht in der Vergangenheit liegen.
6050|20170128|00105146720|UBEN|20170127|2|SLPDV3|101121|Der Versicherungsbeginn darf nicht in der Vergangenheit liegen.
6050|20170128|00105156871|MST2|20170127|2|SLPDV3|101121| 
6050|20170128|00105161037|ROM5|20170127|2|SLPKP|101121| 
6050|20170128|00105152276|MST2|20170127|2|SLPDV3|101238| 
6050|20170128|00105160929|LEGG|20170127|6|SLR40|101121| 
6050|20170128|00105153941|MST2|20170127|2|SLPDV3|101121| 
6050|20170128|00105157818|ROM5|20170127|2|SLPDV3|101238| 
6050|20170128|00105161126|JABO|20170127|3|SLR40|101238| 
6050|20170128|00105158390|ROM5|20170127|2|SLPDV3|101238| 
6050|20170128|00105156703|MST2|20170127|2|SLPDP|101238| 
6050|20170128|00105152462|CMIR|20170125|2|SLPDV3|101238| 
6050|20170128|00105158538|LEGG|20170123|6|SLR40|101238| 
6050|20170128|00105158540|LEGG|20170123|6|SLR40|101121| 
6050|20170128|00105155918|CMIR|20170118|2|SLCAXC|101238| 
6050|20170128|00105142026|ESFM|20170112|3|SLPDV3|101238|Der Versicherungsbeginn liegt mehr als einen Monat in der Vergangenheit.
6050|20170128|00105126263|DEBA|20170106|3|SLPDP|101238|Der Versicherungsbeginn liegt mehr als einen Monat in der Vergangenheit.
6050|20170128|00105128044|ZIFI|20161213|2|SLPDV3|101121| 
6050|20170128|00105124173|JABO|20161117|3|SLPDV3|101121| 
6050|20170128|00105152393|ZIFI|20170119|2|SLPDV3|101238| 
6050|20170128|00105136508|DEBA|20170111|3|SLPDV1|101121|Der Versicherungsbeginn darf nicht in der Vergangenheit liegen.
6050|20170128|00105069681|SVAN|20161121|12|SLATFP|101121| 
6050|20170128|00105105783|SVAN|20161212|2|SLPDV3|101238| 
6050|20170128|00105083443|ESFM|20161213|3|SLPDP|101238|Der Versicherungsbeginn liegt mehr als einen Monat in der Vergangenheit.
6050|20170128|00105101743|ESFM|20161213|2|SLPDV3|101238|Der Versicherungsbeginn liegt mehr als einen Monat in der Vergangenheit.
6050|20170128|00105143401|MST2|20161220|2|SLPDV3|101238| 
6050|20170128|00105110356|MROO|20161221|3|SLPDV3|101238|Der Versicherungsbeginn liegt mehr als einen Monat in der Vergangenheit.
6050|20170128|00105067300|DEBA|20161221|1|SLPUP|101238|Der Versicherungsbeginn liegt mehr als einen Monat in der Vergangenheit.
6050|20170128|00105146169|ZIFI|20161223|2|SLPDV3|101121| 
6050|20170128|00105110067|DEBA|20161227|2|SLPDV3|101121|Der Versicherungsbeginn darf nicht in der Vergangenheit liegen.
6050|20170128|00105138558|MST2|20161230|2|SLPDP|101121| 
6050|20170128|00105148418|NAGI|20170105|2|SLPDV3|101238| 
6050|20170128|00105075167|DEBA|20170106|2|SLPDV6|101121|Der Versicherungsbeginn darf nicht in der Vergangenheit liegen.
6050|20170128|00105083460|DEBA|20170111|2|SLPDV3|101076|Die Prämienbefreiung bei Erwerbsunfähigkeit ist für den Tarif  obligatorisch.
6050|20170128|00105152286|JABO|20170111|3|SLPDV3|101238| 
6050|20170128|00105149715|LEGG|20170113|10|SLPUP|101238| 
6050|20170128|00105139994|DEBA|20170116|1|SLPDV6|101121|Der Versicherungsbeginn darf nicht in der Vergangenheit liegen.
6050|20170128|00105127319|EAMI|20170116|2|SLPDV3|101121|L'inizio dell'assicurazione non deve situarsi nel passato.
6050|20170128|00105132076|EAMI|20170116|2|SLPDP|101121|L'inizio dell'assicurazione non deve situarsi nel passato.
6050|20170128|00105143010|EAMI|20170116|2|SLPUP|101121|L'inizio dell'assicurazione non deve situarsi nel passato.
6050|20170128|00105151792|CMIR|20170116|2|SLPUP|101238| 
6050|20170128|00105154173|JABO|20170116|3|SLFIE|101238| 
6050|20170128|00105137349|FUAR|20170116|1|SLPDV1|101121|Der Versicherungsbeginn darf nicht in der Vergangenheit liegen.
6050|20170128|00105154723|JABO|20170117|3|SLR40|101238| 
6050|20170128|00105079959|ESPO|20170117|3|SLPDV1|101238|Der Versicherungsbeginn liegt mehr als einen Monat in der Vergangenheit.
6050|20170128|00105154556|TSES|20170117|2|SLPDV3|101238| 
6050|20170128|00105149607|ZIFI|20170117|2|SLPDV3|101121| 
6050|20170128|00105134438|FLUN|20170117|1|SLFVD3|101121|Der Versicherungsbeginn darf nicht in der Vergangenheit liegen.
6050|20170128|00105137115|ESFM|20170117|1|SLPDV3|101238|Der Versicherungsbeginn liegt mehr als einen Monat in der Vergangenheit.
6050|20170128|00105147591|NAGI|20170118|2|SLPDV3|101238| 
6050|20170128|00105145283|MROO|20170118|1|SLPDV3|101121|Der Versicherungsbeginn darf nicht in der Vergangenheit liegen.
6050|20170128|00105147178|MROO|20170118|1|SLFVD3|101121|Der Versicherungsbeginn darf nicht in der Vergangenheit liegen.
6050|20170128|00105140371|ESFM|20170118|1|SLPDV3|101121|Der Versicherungsbeginn darf nicht in der Vergangenheit liegen.
6050|20170128|00105132044|DEBA|20170118|2|SLPDV6|101238|Der Versicherungsbeginn liegt mehr als einen Monat in der Vergangenheit.
6050|20170128|00105128034|DEBA|20170118|2|SLPDV3|101238|Der Versicherungsbeginn liegt mehr als einen Monat in der Vergangenheit.
6050|20170128|00105127405|DEBA|20170118|2|SLPDV3|101121|Der Versicherungsbeginn darf nicht in der Vergangenheit liegen.
6050|20170128|00105153266|ROM5|20170118|2|SLPDV3|101121| 
6050|20170128|00105126126|DEBA|20170118|3|SLPDV3|101238|Der Versicherungsbeginn liegt mehr als einen Monat in der Vergangenheit.
6050|20170128|00105134308|ESFM|20170118|3|SLPDP|101238|Der Versicherungsbeginn liegt mehr als einen Monat in der Vergangenheit.
6050|20170128|00105128988|DEBA|20170118|3|SLPDV3|101238|Der Versicherungsbeginn liegt mehr als einen Monat in der Vergangenheit.
6050|20170128|00105114697|ESFM|20170118|3|SLPDV1|101121|Der Versicherungsbeginn darf nicht in der Vergangenheit liegen.
6050|20170128|00105126056|ESFM|20170118|1|SLPDP|101121|Der Versicherungsbeginn darf nicht in der Vergangenheit liegen.
6050|20170128|00105145060|ESPO|20170119|3|SLPDV3|101121|Der Versicherungsbeginn darf nicht in der Vergangenheit liegen.
6050|20170128|00105139557|UBEN|20170119|1|SLPDV3|101238|Der Versicherungsbeginn liegt mehr als einen Monat in der Vergangenheit.
6050|20170128|00105139112|ESFM|20170119|2|SLPDV3|101121|Der Versicherungsbeginn darf nicht in der Vergangenheit liegen.
6050|20170128|00105126263|DEBA|20170106|3|SLPDP|101121|Der Versicherungsbeginn darf nicht in der Vergangenheit liegen.
6050|20170128|00105144985|TSES|20161228|2|SLFIE|101121| 
6050|20170128|00105124173|JABO|20161117|3|SLPDV3|101238| 
6050|20170128|00105152393|ZIFI|20170119|2|SLPDV3|101121| 
6050|20170128|00105150556|ZIFI|20170119|2|SLPDV3|101238| 
6050|20170128|00105145812|ESPO|20170119|2|SLPDV3|101121|Der Versicherungsbeginn darf nicht in der Vergangenheit liegen.
6050|20170128|00105151849|ZIFI|20170119|2|SLPDV3|101238| 
